artist,Year,location_description,title,Neighborhood,Location_1,,,,,,,
artist,created_at,location_description,title,neighborhood,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Historic Lobby,1908: The Construction of Clarendon Hall,,,,,,,,,
"deSoto, Lewis",2004-2009,City Department : Laguna Honda Hospital : Link Building : L1,"1954-1997: Virginia Leishman, Nursing Director",,,,,,,,,
"DeStaebler, Stephen",1969,"Public Display : District 11 : CCSF, Student Union",Fireplace and Hood,,,,,,,,,
"DeStaebler, Stephen",1986,"Public Display : District 6 : Ped. Plaza, north of Moscone Parking Garage",Man with Flame,SoMa,"Moscone Parking Garage, 3rd St. between Howard & Folsom",,,,,,,
"Deutsch, Richard",1988,Public Display : District 4 : Great Highway at Taraval,Propeller,Sunset,Great Highway Esplanade at Rivera,,,,,,,
"Di Colbertaldo, Vittorio",1969,Public Display : District 3 : Telegraph Hill,Christopher Columbus,,,,,,,,,
"Di Suvero, Mark",1995,"Public Display : District 6 : Embarcadero, north of Ballpark",Sea Change,Embarcadero,"South Beach Park, Embarcadero at Pier 30",,,,,,,
"Diebenkorn, Richard",1969,City Department : San Francisco International Airport  : John Martin's Office,Untitled,,,,,,,,,
"Diebenkorn, Richard",1969,City Department : San Francisco International Airport : John Martin's Office,Untitled,,,,,,,,,
"Diebenkorn, Richard",1969,City Department : San Francisco International Airport : John Martin's Office,Untitled,,,,,,,,,
"Diebenkorn, Richard",1969,City Department : San Francisco International Airport : John Martin's Office,Untitled,,,,,,,,,
"Dill, Laddie John",1977,Airport : Terminal 2 : Gate 59,Untitled,SFO,"Terminal 2, Gate 59",,,,,,,
"Dine, Jim",1969,"Public Display : District 6 : Convention Plaza Office Building, 3rd and Howard",Venus with Rope,,,,,,,,,
"Dixon, Maynard",1969,"Public Display : District 3 : 425 Mason St., Lobby",Landscape,,,,,,,,,
"Dixon, Willard",1979,Airport : Terminal 2 : South Arrival Lounge,Above Bolinas,SFO,"Terminal 2, pre-security",,,,,,,
"Dixon, Willard",1979,Airport : Terminal 2 : South Arrival Lounge,Death Valley II,SFO,"Terminal 2, pre-security",,,,,,,
"Donahue, Marcia",2000,Public Display : District 3 : Woh Hei Yeun Park : Powell St. Between Jackson and,Five Carved Stones,Chinatown,Woh Hei Yeun Park : Powell St. between Jackson and John St.,,,,,,,
"Donahue, Scott",,"City Department : Taraval Police Station, 2345 24th Ave., Community Room entrance","Kate, Allan, Javier, Ting, Sloanie",Sunset,"Taraval Police Station, 2345 24th Ave., Community Room entrance",,,,,,,
"Donahue, Scott",1969,Public Display : District 1 : Richmond Branch Library : 351 9th Ave.,Untitled [Richmond Library],,351 9th Ave,,,,,,,
"Donahue, Scott",1969,Public Display : Richmond Branch Library,To This Place,,,,,,,,,
"Dore, Paul Gustave",1877-1878,Public Display : District 1 : GGP : Music Concourse,La poeme de la vigne,,,,,,,,,
"Downie, Romana Anzi",1969,Public Display : District 6 : SFPL : History Center : 6th Floor,Bust of George Moscone,,,,,,,,,
"Dvortcsak, Michael",1985,Airport : Gates 81-83,Sublimens,SFO,"Terminal 3, Gates 81-83",,,,,,,
"Dwyer, Gary",1994,City Department : Mission Police Station : 630 Valencia Street : Lobby,Seven Dancing Stones and Seven Dancing Stars Stories,Mission,Mission Police Station : 630 Valencia Street : Lobby,,,,,,,
"Echelman, Janet",2011,Airport : Terminal 2 : Recomposure Area : Post-security,Untitled [T-2 interior],SFO,Terminal 2 : Recomposure Area : Post-security,,,,,,,
"Edstrom, David",1969,Public Display : District 7 : Laguna Honda Hospital,Florence Nightingale (1820-1910),,,,,,,,,
"Elliott, Lillian",1969,City Department : Dept. Social Services : 170 Otis St. : Elevator Lobby,Untitled,,,,,,,,,
"Erckenbrack, Mary E.",1969,Public Display : District 5 : Hamilton Rec. Center,Ceramic Mural on Athletics,,,,,,,,,
"Eversley, Frederick",1982,Airport : Boarding Area B,Untitled,SFO,"Terminal 1, Boarding Area B",,,,,,,
"Fernandez, Rudy",1985,Public Display : District 9 : Mission Rec. Center : 2450 Harrison St.,Mission Triptych #3,Mission,Mission Rec. Center : 2450 Harrison St.,,,,,,,
"Fernandez, Rudy",1985,Public Display : District 9 : Mission Rec. Center : 2450 Harrison St.,Mission Triptych #2,Mission,Mission Rec. Center : 2450 Harrison St.,,,,,,,
Fine and McCarren,2002,Public Display : District 4 : SF Zoo,Split Mound,Lake Merced,"SF Zoo, 1 Zoo Rd.",,,,,,,
"Finneran, Bean",2008,Public Display : District 7 : Junipero Serra Playground : Recreation Center,Untitled,Lake Merced,"Junipero Serra Playground : Rec Center, 300 Stonecrest Dr.",,,,,,,
"Fischer, R. M.",2003,Public Display : District 3 : Union Square,Union Square Colomnade,Union Square,"Union Square, Geary & Powell",,,,,,,
"Fleming, Alan",1991,"Public Display : District 1 : Kezar Stadium, N, S and West gates",Kezar Stadium Gates,Haight,"Kezar Stadium, N, S and West gates, Arguello at Lincoln Way",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","""Stenciled Fortunes"" within ""Photos of People from the Neighborhood enlarged and",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People From the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People From the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",2002,"Public Display : District 3 : North Beach Parking Garage, 735 Vallejo","Photos of People from the Neighborhood Enlarged and Attached to the Building, an",North Beach,"North Beach Parking Garage, 735 Vallejo",,,,,,,
"Fletcher, Harrell and Rubin, John",1998,,,Sunset,"MUNI platforms, L-Taraval Line, Sunset & 22nd Ave.",,,,,,,
"Francis, Sam",1980,Airport : T3 : Gates 82-83,Untitled,SFO,"Terminal 3, Gates 82-83, post-security",,,,,,,
"French, Daniel Chester",ca. 1892,"Public Display : District 1 : GGP, Music Concourse",Thomas Starr King (1824-1864),,,,,,,,,
"Frey, Viola",1999,"Airport : IT : Boarding Area A : Departures, A4",World Civilization,SFO,"International Terminal: Boarding Area A : Departures, A4",,,,,,,
"Frey, Viola",1987,Public Display : District 6 : Moscone Center,Exterior/Interior (Studio View),SoMa,Moscone Center: Mezzanine Level: Howard between 3rd & 4th St.,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,Lion,Chinatown,Portsmouth Square: Tot Lot: Lower level: Clay & Kearny St.,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 1 : Portsmouth Square,Serpent,,,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,Untitled,,,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,Dragon,,,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,Lion,,,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,Benches,,,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,Monkey,,,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,Rabbit,,,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,Serpent Wall,,,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,Ram,,,,,,,,,
"Fuller (Mcchesney), Mary",1984,Public Display : District 3 : Portsmouth Square,"Tiger, Ram, Serpent, Monkey, Rabbit, Dragon",,,,,,,,,
"Fuller, Mary",1969,Public Display : District 4 : Great Highway at Sloat,"Earth, Air, Sea",,,,,,,,,
"Fuller, Mary",1969,"City Department : SFGH, Courtyard #3",Dos Liones,,,,,,,,,
"Garcia, Rupert",1999,Airport : IT : Boarding Area G : Gate G102,Bird Technology,SFO,International Terminal: Boarding Area G : Gate G102,,,,,,,
"Garten, Cliff",2010,City Department : Laguna Honda Hospital : Link Building : L1,Laguna Line (The Possibility of the Everyday),Forest Hill,Laguna Honda Hospital: Link Building : L1 365 Laguna Honda,,,,,,,
"Garza, Carmen Lomas",2000,Airport : IT : Boarding Area G : Gate G93,Baile!,SFO,"International Terminal, Boarding Area G : Gate G93",,,,,,,
"Geefs, Guillaume",1969,"Public Display : District 1 : GGP, Music Concourse",Leonitus (Roman Gladiator),,,,,,,,,
"Genn, Nancy",1986,"Airport : Terminal 2, Medical Clinic",Evora 16,SFO,Terminal 2: Medical Clinic,,,,,,,
"Gilliam, Sam",1969,Public Display : Moscone Center : Mezzanine Level,Tholos Across,,,,,,,,,
"Gillman, Steve",1969,Public Display : District 3 : Embarcadero : Entrance to Pier 7,Bay Bench,,,,,,,,,
"Gillman, Steve",1969,Public Display : District 3 : Embarcadero : Entrance to Pier 7,Bay Bench,,,,,,,,,
"Gillman, Steve",1969,Public Display : District 3 : Embarcadero : Entrance to Pier 7,Bay Bench,,,,,,,,,
"Gillman, Steve and Keefer, Katherine",1969,Public Display : District 10 : Coffman Pool : 150 Hahn Street,The Swimmers,,,,,,,,,
"Glatt, Linnea",1969,City Department : Laguna Honda Hospital : Courtyard E,Re-connection/Re-cognition,,,,,,,,,
"Goggin, Brian",1969,"Public Display : District 9 : Mission at 29th, west side",Bed,,,,,,,,,
"Goggin, Brian",1969,"Public Display : District 9 : Mission at Valencia, east side",Grow,,,,,,,,,
"Goggin, Brian",1969,"Public Display : District 9 : Mission at Valencia, west side",Eat,,,,,,,,,
"Goggin, Brian",1969,"Public Display : District 9 : Mission at Valencia, west side",Feed,,,,,,,,,
"Goggin, Brian",1969,"Public Display : District 9 : Mission at Precitia, west side",Ballast,,,,,,,,,
"Goggin, Brian",1969,"Public Display : District 9 : Mission at Cortland, west side",Switch,,,,,,,,,
"Goggin, Brian",1969,Public Display : District 9 : Mission St. Sidewalk  : Between Precita and Cortla,Pavers,,,,,,,,,
"Goggin, Brian",1969,Public Display : District 9 : Mission St.,Road,,,,,,,,,
"Goggin, Brian",1969,"Public Display : District 9 : Mission at 30th, west side",Others,,,,,,,,,
"Goggin, Brian",1969,"Public Display : District 8 : Mission at Virginia, east side",Hunt,,"Mission at, Virginia
",,,,,,,
"Goggin, Brian and Keehn, Dorka",2008,Public Display : District 3 : Broadway and Columbus,Language of the Birds,,,,,,,,,
"Goldberg, Jim and Rubin, Jon",2008,Public Display : District 11 : Minnie and Lovie Ward Recreation Center : Capital,Imagine Even More,,,,,,,,,
"Gonzales, George",1995,City Department : SFGH : MHRF : Courtyard,Wu Xing Pavilion,Potrero Hill,"Mental Health Rehabilitation Facility, Courtyard, SF General Hospital,21st St. and Potrero Ave. - See more at: http://www.sfartscommission.org/pubartcollection/pubart-projects/2008/10/20/public-art-projects-list/#sthash.dHnr6QWX.dpuf",,,,,,,
"Gonzalez, Arthur",1969,City Department : Taraval Police Station : 2345 24th Ave. : Lobby,Peaceable Kingdom,,,,,,,,,
"Gordin, Sidney",1969,"Public Display : District 6 : Davies Hall, upper terrace",Untitled,,,,,,,,,
"Gordon, David and Shum, Hilda",,City Department : SFGH : Skilled Mental Health Nursing Facility : Day Rooms,Column Vistas,,,,,,,,,
"Grafly, Charles",1969,Public Display : District 1 : GGP : JFK at Stowe Lake Drive,Pioneer Mother,,,,,,,,,
"Graham, Cecelia",1969,City Department : Rec./Park : GGP : Nursery,The Dolphins,,,,,,,,,
"Graham, Gary W.",1969,City Department : SFPD : Northern Station,Police Shield,,,,,,,,,
"Greber, Henri Leon",ca. 1942,Public Display : District 3 : Huntington Park,Dancing Sprites,,,,,,,,,
"Grieve, Mark and Spector, Ilana",2010-2011,Public Display : District 10 : Visitacion Valley Library,Untitled ,,,,,,,,,
"Grossoni, Orazio",ca. 1914,"Public Display : District 1 : GGP, Music Concourse, South of Bandshell",Giuseppe Verdi,,,,,,,,,
"Hall, Diane Andrews",2010,City Department : Laguna Honda Hospital,Untitled [tapestries],,,,,,,,,
"Hall, Diane Andrews",2010,Laguna Honda : North Residence : L1 : Northwest Wall #2,Rollers,,,,,,,,,
"Hall, Diane Andrews",2010,Laguna Honda : North Residence : L1 : Northwest Wall,Goldfinch with Zinnia 2,,,,,,,,,
"Hall, Diane Andrews",2010,Laguna Honda : North Residence : L1 : Southeast Wall,Goldfinch 5,,,,,,,,,
"Hall, Diane Andrews",2010,Laguna Honda : North Residence : L1 : Northeast Wall,Bird and Poem,,,,,,,,,
"Hall, Diane Andrews",2010,Laguna Honda : North Residence : L1 : Southwest Wall #2,Swelling Cumulus,,,,,,,,,
"Hall, Diane Andrews",2010,Laguna Honda : North Residence : L1 : East Wall,Morning Light 2,,,,,,,,,
"Hall, Diane Andrews",2010,Laguna Honda : North Residence : L1 : Southwest Wall,Hermit Thrush 2,,,,,,,,,
"Hall, Parker",1969,Public Display : District 3 : Coit Tower,Collegiate Sports,,,,,,,,,
"Halprin, Lawrence",1975,Public Display : District 1 : UN Plaza,United Nations Plaza Fountain,,,,,,,,,
"Hamlin, Edith",1969,Storage : Airport,Map for the Pacific and Orient Steamship Lines,,,,,,,,,
"Hamlin, Edith",1969,Public Display : District 3 : Coit Tower,Hunting in California,,,,,,,,,
"Happersberger, Frank",1969,Public Display : District 1 : GGP : Conservatory lawn,James A. Garfield (1831-1881),,,,,,,,,
"Happersberger, Frank",1969,"Public Display : District 6 : McAllister St., between Asian Art Museum and Libra",Pioneer Monument  (James Lick Monument),,,,,,,,,
"Haring, Keith",2003(fabricated in 1989),"Public Display : District 6 : 4th and Howard, Moscone Center",Untitled (Three Dancing Figures),SoMa,"4th and Howard, Moscone Center",,,,,,,
"Harris, George",1969,Public Display : District 3 : Coit Tower,Banking and the Law,,,,,,,,,
"Hasson, Bruce",1969,"Public Display : District 6 : Father Boeddekker Park, Jones and Eddy",Ark (or Ark San Francisco),,,,,,,,,
"Hasson, Bruce",1969,City Department : DPT : Bush and Polk Parking Garage,Trolleys,,,,,,,,,
"Heavenston, Martha",1969,Public Display : District 5 : Tenderloin Rec. Center,a) Dancing in the Sea of Milk (woman); and b) African King with Animal Power (ma,,,,,,,,,
"Heavenston, Martha",1989,Public Display : District 6 : 6th and Folsom Rec. Center,A World View,SoMa,"6th and Folsom St., SoMa Rec. Center Playground",,,,,,,
"Hedrick, Wally",1969,Airport : Terminal 2 : North Arrivals Lounge,"17th December, 1903",,,,,,,,,
"Heffernon, Gerald",1969,Public Display : District 7 : Laguna Honda Hospital : Central quad,Rabbinoid on Cell Phone,,,,,,,,,
"Hesthal, William",1969,Public Display : District 3 : Coit Tower,Railroad and Shipping,,,,,,,,,
"Hesthal, William",1969,City Department : Civic Auditorium : Polk Hall,Untitled,,,,,,,,,
"Hiramoto, Judy",1986,Public Display : District 9 : Mission Rec. Center : 2450 Harrison St. : Courtyar,Animal Hopscotch,Mission,"2450 Harrison St, Mission Rec Center",,,,,,,
"Hoefer, Wade",1969,Airport : Terminal 2 : Gate 58 B,The Peasant's Parade,,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : South Residence : L2 : Northwest Wall #1,Untitled,,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : South Residence : L2 : Southwest Wall #1,Untitled,,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : North Residence : L2 : Northwest Wall #1,Untitled,,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : North Residence : L2 : Northeast Wall,Untitled (Chalkboards),,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : North Residence : L2 : Southwest Wall #2,Untitled (Chalkboards),,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : North Residence : L2 : Southwest Wall #1,Untitled,,,,,,,,,
"Hoff, Terry",2005-2010,City Department : Laguna Honda Hospital : North and South Residence : L2,Untitled,,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : North Residence : L2 : Northwest Wall #2,Untitled (Chalkboards),,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : South Residence : L2 : Southwest Wall #2,Untitled (Chalkboards),,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : South Residence : L2 : Northeast Wall,Untitled (Chalkboards),,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : South Residence : L2 : Northwest Wall #2,Untitled (Chalkboards),,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : South Residence : L2 : Southeast Wall,Untitled,,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : North Residence : L2 : East Wall,It's Always Time for Flowers,,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : South Residence : L2 : Dining Wall,Untitled (Chalkboard),,,,,,,,,
"Hoff, Terry",2008-2009,City Department : Laguna Honda : South Residence : L2 : East Wall,It's Always Time for Flowers,,,,,,,,,
"Holland, Tom",1981,Public Display : District 6 : Moscone Center : Mezzanine Level,Morengo,SoMa,"Moscone Center : Mezzanine Level, Howard & 3rd St.",,,,,,,
"Hollis, Douglas",1995,City Department : Sheriff's Facility : 7th St. and Bryant : Exterior and Roof,Ceramic Frit Windows and Mechanical Screens,SoMa,Sheriff's Facility : 7th St. and Bryant : Exterior and Roof,,,,,,,
"Houdon, Jean Antoine",1969,Public Display : District 1 : Washington High School,George Washington,,,,,,,,,
"Howard, John Langley",1969,Public Display : District 3 : Coit Tower,California Industrial Scenes,,,,,,,,,
"Howard, Mildred",2000,Airport : IT : Boarding Area A : Gate A2,Salty Peanuts,SFO,International Terminal : Boarding Area A : Gate A2,,,,,,,
"Howard, Robert B.",1939,Storage : District 11 : CCSF : Phelan Campus : Judson Avenue Lot,Whales,,,,,,,,,
"Hsu, Joyce",2008,Airport : International terminal : Gate A-3,Namoo House,SFO,International terminal : Gate A-3,,,,,,,
"Hsu, Joyce",2006,Public Display : District 1 : Argone Playground : 18th Ave. and Anza,Incomplete Metamorphosis,Richmond,Argone Playground : 18th Ave. and Anza,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : North Residence : L4 : East Wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : Link Building : L1 : West and south walls,Untitled,,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : Link Building : L1 : West and south walls,Untitled,,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : Link Building : L1 : West and south walls,Untitled,,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : North Residence : L4 : Northwest Wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : Link Building : L1 : West and south walls,Untitled [glass block windows],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : North Residence : L4 : Northeast Wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : Link Building : L1 : West and south walls,Untitled,,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : North Residence : L4 : Southwest Wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : North Residence : L4 : Southeast Wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : South Residence : L4 : Northwest Wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : South Residence : L4 : Northeast Wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : South Residence : L4 : Southeast wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : South Residence : L4 : Southwest Wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda : South Residence : L4 : East Wall,Untitled [glass panels],,,,,,,,,
"Huang, Arlan",1969,City Department : Laguna Honda Hospital : North and South Residences : L4,Untitled [glass panels],,,,,,,,,
"Hudson, Robert",1969,Airport : T3 : Level 2 : T2 connector,A Horse of Another Color,,,,,,,,,
"Hung, Su-Chen",1969,"Airport : International Terminal, Immigration Area",Welcome,,,,,,,,,
Hunter and Ghidini,1969,"Public Display : District 7 : Muni Platform, 19th Ave. at Holloway",19th Avenue Shelter at Winston Drive,,,,,,,,,
Hunter and Ghidini,1969,"Public Display : District 7 : Muni Platform, 19th Ave. at Holloway",19th Avenue Shelter at Holloway Avenue,,,,,,,,,
"Huntington, Clara",1969,"Public Display : District 1 : GGP: Arboretum, Fragrance Garden",St. Francis of Assisi (Feeding the Birds),,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda : Link : Mezzanine : Dining Room,Landscape,,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda : Link : Mezzanine : Living Room,Landscape,,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda : North Residence : Mezzanine : Southeast Wall,Untitled [ceramic relief],,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda : North Residence : Mezzanine : Southwest Wall #1,Untitled [wood relief],,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda : North Residence : Mezzanine : Northwest Wall #2,Untitled [wood relief],,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda : North Residence : Mezzanine : Northwest Wall #1,Untitled [wood relief],,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda Hospital,Horizontal Feeling,,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda : North Residence : Mezzanine : Northeast Wall,Untitled [ceramic relief],,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda : North Residence : Mezzanine : East Wall,Untitled [ceramic relief],,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda Hospital,Sky Dancing,,,,,,,,,
"Igarashi, Takenobu",1969,City Department : Laguna Honda : North Residence : Mezzanine : Southwest Wall #2,Untitled [wood relief],,,,,,,,,
"Ilyin, Peter",1969,Federal Home Loan Bank of San Francisco  : 600 California St.,Untitled Mural,,600 California St,,,,,,,
"Ilyin, Peter",1969,Federal Home Loan Bank of San Francsico : 600 California,Untitled Mural,,600 California St,,,,,,,
"Jauchen, Hans",1929,"Public Display : District 1 : GGP, JFK at Great Highway",Roald Amundsen (1872-1928),,,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,Public Display : District 6 : Tenderloin Rec. Center : 570 Ellis : Front Fence,Folks in the 'Hood,Mission,,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,Public Display : District 10 : MLK Pool,Wade in Water,,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,San Francisco Mission District Juvenile Facility,Hope Flight,Mission,3401 17th Street,,,,,,,
Joesam.,1969,Public Display : District 8 : Mission District Police Station : JuvenileFacility,Hope Flight,Mission,,,,,,,,
"Johanson, Patricia",,City Department : DPW/PUC : Sunnydale Pump Station,Endangered Garden,,,,,,,,,
"Johnson, Amana",2007-2008,Public Display : District 10 : Joseph Lee Recreation Center : 1395 Mendell Stree,Time to Dream,,,,,,,,,
"Jurs, Shelley",1969,City Department : Richmond Police Station : 6th Ave. and Anza : Front Door and T,Good Luck Piece,,,,,,,,,
"Kadish, Ruben",1969,"Public Display : District 6 : Civic Auditorium, Larkin Hall",Untitled,,,,,,,,,
"Kahn, Ned",2002,"Airport : Concourse H, BART",Wind Portal,SFO,"Concourse H, BART",,,,,,,
"Kahn, Ned",1969,"City Department : County Jail, San Bruno : Skyline Blvd. and Longview Dr.",The Greenhouse Project,,"San Bruno : Skyline Blvd
",,,,,,,
"Kang, Ik-Joong",1969,Airport : IT : Departures,Gateway,,,,,,,,,
